model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-1.5-flash,0.2647058823529412,0.06132075471698113,0.6356803094319038,0.8974358974358975,14.0,2.5605154037475586
gemini-1.5-flash,0.2857142857142857,0.06989247311827956,0.5388222776610068,0.9393939393939394,14.0,18.456009070294783
gemini-1.5-flash,0.25925925925925924,0.05913978494623656,0.7180463086321535,0.8955223880597014,12.0,16.098004535147393
gemini-1.5-flash,0.2857142857142857,0.06989247311827956,0.5388222776610068,0.9393939393939394,14.0,18.456009070294783
gemini-1.5-flash,0.30434782608695654,0.07692307692307693,0.6298777848185599,0.8518518518518519,13.0,14.152018140589568
gemini-1.5-flash,0.8181818181818182,0.20121951219512196,0.0643000089655796,0.7924528301886793,34.0,20.4
gemini-1.5-flash,0.37037037037037035,0.08791208791208792,0.4849576058746578,0.8787878787878787,17.0,15.633015873015873
gemini-1.5-flash,0.4583333333333333,0.13855421686746988,0.45436630696451386,0.8070175438596491,24.0,17.88
gemini-1.5-flash,0.2857142857142857,0.06217616580310881,0.534089032307712,0.90625,13.0,20.59201814058957
gemini-1.5-flash,0.4,0.1095890410958904,0.44307149471560625,0.7654320987654322,25.0,17.885986394557822
gemini-1.5-flash,0.2962962962962963,0.06451612903225806,0.51668538699127,0.870967741935484,13.0,20.424036281179138
gemini-1.5-flash,0.2647058823529412,0.09813084112149532,0.6356803094319038,0.8974358974358975,22.0,20.64
gemini-1.5-flash,0.27586206896551724,0.07142857142857142,0.6735712962812116,0.8571428571428571,14.0,18.456009070294783
gemini-1.5-flash,0.4074074074074074,0.08333333333333333,0.37541625264671097,0.9090909090909091,16.0,17.52
gemini-1.5-flash,0.5454545454545454,0.09883720930232558,0.22354445094404488,0.8461538461538461,18.0,21.528027210884353
gemini-1.5-flash,0.4166666666666667,0.10240963855421686,0.34438334841536133,0.8571428571428572,18.0,19.45501133786848
gemini-1.5-flash,0.32,0.08021390374331551,0.5877840417863172,0.9,16.0,22.23201814058957
gemini-1.5-flash,0.55,0.10062893081761007,0.19437037949256428,0.8333333333333333,17.0,17.1
gemini-1.5-flash,0.4782608695652174,0.1896551724137931,0.3946825811316049,0.7857142857142856,34.0,18.326984126984126
gemini-1.5-flash,0.2857142857142857,0.0593607305936073,0.6045511793385521,0.875,14.0,22.686303854875284
