model,text,reference,time,cost,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
gemini-1.5-pro,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione dell'articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR98U, alle ore 21:15 del 13 marzo 2025.
","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Mario Rossi ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Fiat Panda targata TR098YU, alle ore 21:15 del 13/03/2025.",16.194013605442176,0.0034238027210884347,0.17647058823529413,0.05188679245283019,0.7549638711508062,0.9210526315789473,0.9210526315789473,12.0
gemini-1.5-pro,"Sono l'agente Carlo Bruni, alle ore 15:03 del 24 marzo 2025. Ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR98YU.
","Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",18.456009070294783,0.003851201814058957,0.25,0.06451612903225806,0.6387390016474043,0.9393939393939394,0.9393939393939394,13.0
gemini-1.5-pro,"Sono l'agente Anna Bianchi, alle ore 00:16 del 14 marzo 2025. Ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo Volkswagen Golf, targa FG234LM.
","Sono l'agente Anna Bianchi. Alle ore 00:16 del 14/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Milano 24, Torino. Veicolo: Volkswagen Golf, targa FG234LM.",16.098004535147393,0.0033746009070294786,0.25925925925925924,0.06451612903225806,0.5584477172924733,0.96875,0.96875,13.0
gemini-1.5-pro,"Sono l'agente Carlo Bruni, alle ore 15:03 del 24 marzo 2025. Ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR98YU.
","Sono l'agente Carlo Bruni. Alle ore 15:03 del 24/03/2025, ho rilevato un'infrazione per sosta davanti a passo carrabile in via Etnea 45, Catania. Veicolo: Volkswagen Golf, targa TR098YU.",18.456009070294783,0.003851201814058957,0.25,0.06451612903225806,0.6387390016474043,0.9393939393939394,0.9393939393939394,13.0
gemini-1.5-pro,"Agente Silvia Neri in servizio. Segnalazione di doppia fila alle 00:38 del 6 marzo 2025 in Piazza Venezia, Roma. Auto coinvolta: Renault Clio, targa XY987ZT.
","Agente Silvia Neri in servizio. Segnalazione di doppia fila alle 00:38 del 06/03/2025, in piazza Venezia, Roma. Auto coinvolta: Renault Clio, targa XY987ZT.",14.152018140589568,0.0029654036281179137,0.17391304347826086,0.0641025641025641,0.7267072830982378,0.9230769230769231,0.9230769230769231,11.0
gemini-1.5-pro,"Infrazione riscontrata: accesso vietato. Posizione: Via del Corso 12, Roma, ora 2:52. Data: 16 marzo 2025. Auto: Volkswagen Golf, targa AA321MD. Agente: Carlo Bruno.
","Infrazione riscontrata: accesso vietato. Posizione: via del Corso 12, Roma. Ora: 02:52, Data: 16/03/2025. Auto: Volkswagen Golf, targa KL321MN. Agente: Carlo Bruni.",20.4,0.00421,0.4090909090909091,0.10365853658536585,0.3207714281451772,0.8399999999999999,0.8399999999999999,18.0
gemini-1.5-pro,"Sono l'agente Carlo Bruni, alle ore 13:26 del 9 marzo 2025. Ho rilevato un'infrazione per parcheggio su strisce pedonali in Via Etnea 45, Catania. Veicolo Toyota Yaris, targa GH789IE.
","Sono l'agente Carlo Bruni. Alle ore 13:26 del 09/03/2025, ho rilevato un'infrazione per parcheggio su strisce pedonali in via Etnea 45, Catania. Veicolo: Toyota Yaris, targa GH789IJ.",15.633015873015873,0.003281603174603175,0.3333333333333333,0.08241758241758242,0.402762965093358,0.90625,0.90625,16.0
gemini-1.5-pro,"Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 20:06 dell'8 marzo 2025. In via Garibaldi 11, Firenze, auto coinvolta: Toyota Yaris, targa XY987ZT.
","Agente Sara Bellini in servizio. Segnalazione di accesso vietato alle 20:06 del 08/03/2025, in via Garibaldi 11, Firenze. Auto coinvolta: Toyota Yaris, targa XY987ZT.",17.88,0.003711,0.25,0.0783132530120482,0.60066011121956,0.8888888888888888,0.8888888888888888,14.0
gemini-1.5-pro,"Il giorno 11 marzo 2025, alle ore 15:06 è stata segnalata un'infrazione per accesso vietato in Corso Buenos Aires 98, Milano. Veicolo coinvolto: Toyota Yaris, targa FG234LM. Agente: Giulia Costa.
","Il giorno 11/03/2025, alle ore 15:06, è stata segnalata un’infrazione per accesso vietato in corso Buenos Aires 98, Milano. Veicolo coinvolto: Toyota Yaris, targa FG234LM. Agente: Giulia Costa.",20.59201814058957,0.004278403628117914,0.21428571428571427,0.05181347150259067,0.5716248874063952,0.967741935483871,0.967741935483871,11.0
gemini-1.5-pro,"Durante il pattugliamento in zona via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione dell'articolo 6, comma 5. L'auto coinvolta è una Mercedes classe A targata XXY987ZP. Alle ore 8:13 del 5 marzo 2023.
","Durante il pattugliamento in zona via Milano 24, Torino, l'agente Carlo Bruni ha rilevato una violazione del articolo 7, comma 15. L'auto coinvolta è una Mercedes Classe A targata XY987ZT, alle ore 08:13 del 05/03/2025.",17.885986394557822,0.0037671972789115648,0.3142857142857143,0.0867579908675799,0.5534074871684472,0.7948717948717948,0.7948717948717948,20.0
gemini-1.5-pro,"Il giorno 17 marzo 2025, alle ore 8:14, è stata segnalata un'infrazione per accesso vietato in via Roma 77, Palermo. Veicolo coinvolto: Volkswagen Golf, targa XY987ZT. Agente: Mario Rossi.
","Il giorno 17/03/2025, alle ore 08:14, è stata segnalata un’infrazione per accesso vietato in via Roma 77, Palermo. Veicolo coinvolto: Volkswagen Golf, targa XY987ZT. Agente: Mario Rossi.",20.424036281179138,0.004239807256235828,0.18518518518518517,0.04838709677419355,0.6590206582419382,0.9333333333333333,0.9333333333333333,10.0
gemini-1.5-pro,"Durante il pattugliamento in zona via Napoli 5, Napoli, l'agente Carlo Bruni ha rilevato una violazione dell'articolo 158, comma 2. L'auto coinvolta è una Renault Clio targata KL321 Meganewton, alle ore 10:17 del 19 marzo 2025.
","Durante il pattugliamento in zona via Napoli 5, Napoli, l'agente Carlo Bruni ha rilevato una violazione del articolo 158, comma 2. L'auto coinvolta è una Renault Clio targata KL321MN, alle ore 10:17 del 19/03/2025.",20.64,0.004318,0.20588235294117646,0.08878504672897196,0.7330574947600488,0.9090909090909091,0.9090909090909091,20.0
gemini-1.5-pro,"In base all'articolo 157, comma 5, l'agente Silvia Neri ha riscontrato un'infrazione in via Milano 24, Torino, alle ore 15:26 del 9 marzo 2025. Veicolo coinvolto: Audi A3, targa TR98YU.
","In base al articolo 157, comma 5, l'agente Silvia Neri ha riscontrato un'infrazione in via Milano 24, Torino alle ore 15:26 del 09/03/2025. Veicolo coinvolto: Audi A3, targa TR098YU.",18.456009070294783,0.003851201814058957,0.2413793103448276,0.06593406593406594,0.6241886696801318,0.8823529411764706,0.8823529411764706,13.0
gemini-1.5-pro,"Sono l'agente Sara Bellini, alle ore 16:55 del 15 marzo 2025. Ho rilevato un'infrazione per zona rimozione in Corso Buenos Aires 98, Milano, veicolo Mercedes Classe A, targa TR98YU.
","Sono l'agente Sara Bellini. Alle ore 16:55 del 15/03/2025, ho rilevato un'infrazione per zona rimozione in corso Buenos Aires 98, Milano. Veicolo: Mercedes Classe A, targa TR098YU.",17.52,0.003659,0.37037037037037035,0.08888888888888889,0.3600167847773199,0.9375,0.9375,17.0
