model,text,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI), .,1.0340831279754639,1.0,0.9807692307692307,0.0,0.0,0.0,50.0
Whisper Distilled IT (bofenghuang), ...,13.791740417480469,1.0,0.9807692307692307,0.0,0.0,0.0,50.0
Faster Whisper Tiny (Turbo), anche io poi si rivelò a son e lo bandida reño.,0.646303653717041,0.5,0.21153846153846154,0.05696822651325549,0.5,0.5,12.0
Whisper Tiny (OpenAI), you,0.3024022579193115,1.0,0.9818181818181818,0.0,0.0,0.0,107.0
Whisper Distilled IT (bofenghuang), ...,12.658333539962769,1.0,0.990909090909091,0.0,0.0,0.0,108.0
Faster Whisper Tiny (Turbo), sono presenti alcuni plastici riproducenti battaglia medievali tra lucchesi e modenesi risalenti al medirevo.,0.7628674507141113,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.7857142857142857,0.7857142857142857,4.0
Whisper Tiny (OpenAI), you,0.2931981086730957,1.0,0.9661016949152542,0.0,0.0,0.0,56.0
Whisper Distilled IT (bofenghuang), ...,12.677815437316895,1.0,0.9830508474576272,0.0,0.0,0.0,57.0
Faster Whisper Tiny (Turbo), lex bitor ha sonato tutti gli strumenti nella canzone.,0.6739501953125,0.375,0.15254237288135594,0.4671379777282001,0.631578947368421,0.631578947368421,10.0
Whisper Tiny (OpenAI), you,0.2919759750366211,1.0,0.9565217391304348,0.0,0.0,0.0,43.0
Whisper Distilled IT (bofenghuang), ...,12.553269863128662,1.0,0.9782608695652174,0.0,0.0,0.0,44.0
Faster Whisper Tiny (Turbo), ando seguente tornano valente in l'ogonca,0.6066789627075195,1.0,0.34782608695652173,0.0,0.2857142857142857,0.14285714285714285,16.0
Whisper Tiny (OpenAI), you,0.3094921112060547,1.0,0.9634146341463414,0.0,0.0,0.0,78.0
Whisper Distilled IT (bofenghuang), ...,12.723382711410522,1.0,0.975609756097561,0.0,0.0,0.0,79.0
Faster Whisper Tiny (Turbo)," solo la marina militare italiane, l'aro e al neve possiedono unità di questo tipo.",0.7004754543304443,0.42857142857142855,0.13414634146341464,0.3661926362999429,0.689655172413793,0.689655172413793,12.0
